4036378|Jordan Love|QB|203|155.5|38.9|263.4
3925357|Calvin Ridley|WR|205|168.3|25.2|135.2
5081397|Dylan Sampson|RB|206|169.1|16.7|88.2
4241474|Brian Robinson Jr.|RB|207|167.7|25.8|94
4430539|Brenton Strange|TE|208|167.5|24.1|142.6
4586312|Jaylin Noel|WR|212|171.8|8.7|131.6
4570037|Terrance Ferguson|TE|213|168.6|24.3|135.7
4032473|Rashid Shaheed|WR|214|160.4|43.5|144.5
4832800|Denzel Boston|WR|215|169|24.6|142.3
4241463|Jerry Jeudy|WR|216|168.5|28.3|139.8
4597500|Adonai Mitchell|WR|220|171.1|15.1|127.9
4869645|Caleb Douglas|WR|221|170.7|14.3|113.4
4242512|Malik Willis|QB|222|167.6|20.1|239.8
4880281|Jordyn Tyson|WR|223|168.1|42.4|99.8
4428718|Tre Tucker|WR|226|169.2|24.9|138
4382466|Jalen Nailor|WR|227|171.1|13|124.2
4596334|Keaton Mitchell|RB|228|169.4|19.6|93.9
4685247|Braelon Allen|RB|230|171|11.7|76.8
4360939|Rashod Bateman|WR|232|171.4|9.1|122.3
4428850|Dontayvion Wicks|WR|235|171|9.2|108.7
4569559|Devaughn Vele|WR|236|171.7|9|123.4
4429013|Tank Bigsby|RB|237|169.7|18.4|64.1
4429501|Ray Davis|RB|238|171|10.1|38.2
-16023|Steelers D/ST|DEF|239|121.6|96.1|123.1
-16026|Seahawks D/ST|DEF|240|112.2|98|122.2
-16014|Rams D/ST|DEF|241|104.7|96.9|124.4
-16033|Ravens D/ST|DEF|242|133.8|89.6|120
-16021|Eagles D/ST|DEF|243|137.8|87.8|107.1
-16005|Browns D/ST|DEF|246|157.9|59.7|103.9
-16017|Patriots D/ST|DEF|248|153.3|70.5|100.5
-16008|Lions D/ST|DEF|249|154.7|70.4|108
-16012|Chiefs D/ST|DEF|250|166|37.6|100.4
-16024|Chargers D/ST|DEF|252|165.7|52.1|94.8
4034949|Eddy Pineiro|K|254|141.3|84.1|155.2
3055899|Harrison Butker|K|256|143.9|80.7|148.8
4686361|Cam Little|K|259|140.8|88.3|146.9
4689936|Jake Bates|K|260|157.1|71.7|146.1
4697745|Tyler Loop|K|263|165.3|52.4|145.9
17427|Cairo Santos|K|265|169|34|144.3
4567104|Will Reichard|K|269|167.8|32.2|142.5
4241457|Najee Harris|RB|270|170.2|9.3|78.5
4038441|Justice Hill|RB|273|168.6|17.8|120.1
4870847|Ja'Kobi Lane|WR|276|168.7|17.7|109.7
4432577|C.J. Stroud|QB|280|165.3|23.2|246.1
3912547|Sam Darnold|QB|283|162.3|25.8|242.5
3886598|Jauan Jennings|WR|285|171.1|9|115
4685261|Germie Bernard|WR|290|171.3|7|108.7
4686612|Tre' Harris|WR|293|171.2|4.5|89.9
4361411|Pat Freiermuth|TE|296|169.6|14.4|136.3
3117256|Dalton Schultz|TE|297|168.7|18.2|132.9
5083754|Ryan Flournoy|WR|299|171.1|4.3|89.3
