2576925|Darren Waller|TE|CAR|366|170.3|2.5|114.6
4243331|Cade Otton|TE|TB|368|170.5|2.5|102.1
15864|Geno Smith|QB|NYJ|379|170.2|3.4|232.3
4837248|Fernando Mendoza|QB|LV|383|167.9|10.8|187.6
8439|Aaron Rodgers|QB|PIT|385|169.3|6.2|219.2
-16003|Bears D/ST|DEF|CHI|408|169.6|11.1|89
-16020|Jets D/ST|DEF|NYJ|409|170.1|2.2|84.5
4869461|Trey Smack|K|GB|410|167.7|10.8|144
3050478|Jake Elliott|K|PHI|411|169|8.4|135.8
3051876|Evan Engram|TE|DEN|412|170.1|3.2|106.6
3123076|David Njoku|TE|LAC|413|169.6|5|104.4
3116164|Mike Gesicki|TE|CIN|417|170.3|1.9|85.8
4429086|Michael Mayer|TE|LV|418|170.4|1.1|81
4241479|Tua Tagovailoa|QB|ATL|422|170.1|1.7|114.9
-16025|49ers D/ST|DEF|SF|424|168.8|7.1|83
-16006|Cowboys D/ST|DEF|DAL|425|166.7|11|78.7
-16011|Colts D/ST|DEF|IND|426|170.2|3.5|75.2
-16016|Vikings D/ST|DEF|MIN|427|168.8|15.5|74.3
