season,player_name,position,nfl_team,pos_adp,adp,prev_adp,adp_delta
2026,Dalton Kincaid,TE,BUF,TE11,124.2,126.4,2.2
2026,Tyler Shough,QB,NO,QB20,124.6,123.7,-0.9
2026,Isaiah Likely,TE,NYG,TE12,125.5,127.8,2.3
2026,Aaron Jones,RB,MIN,RB41,126.4,123.4,-3.0
2026,Deebo Samuel,WR,SF,WR54,127.3,135.7,8.4
2026,Chris Rodriguez,RB,JAX,RB42,127.3,129.6,2.3
2026,Jalen Coker,WR,CAR,WR55,127.4,127.5,0.1
2026,Mark Andrews,TE,BAL,TE13,130.0,126.4,-3.6
2026,Khalil Shakir,WR,BUF,WR56,130.5,127.0,-3.5
2026,Keaton Mitchell,RB,LAC,RB43,131.4,134.0,2.6
2026,Rashid Shaheed,WR,SEA,WR57,132.5,130.3,-2.2
2026,Jake Ferguson,TE,DAL,TE14,133.6,131.8,-1.8
2026,De'Zhaun Stribling,WR,SF,WR58,134.0,143.0,9.0
2026,Dallas Goedert,TE,PHI,TE15,134.8,134.7,-0.1
2026,Malik Willis,QB,MIA,QB21,135.7,135.5,-0.2
2026,Tyrone Tracy,RB,NYG,RB44,136.3,134.4,-1.9
2026,Woody Marks,RB,HOU,RB45,141.2,141.5,0.3
2026,Denzel Boston,WR,CLE,WR59,141.3,152.8,11.5
2026,Sam Darnold,QB,SEA,QB22,142.2,142.9,0.7
2026,Chig Okonkwo,TE,WAS,TE16,143.4,139.6,-3.8
2026,Cam Ward,QB,TEN,QB23,145.4,142.0,-3.4
2026,C.J. Stroud,QB,HOU,QB24,145.9,145.1,-0.8
2026,Travis Hunter,WR,JAX,WR60,146.2,141.2,-5.0
2026,Daniel Jones,QB,IND,QB25,147.4,147.0,-0.4
2026,Jalen Nailor,WR,LV,WR61,147.5,148.7,1.2
2026,Brenton Strange,TE,JAX,TE17,149.1,149.7,0.6
2026,Tyler Allgeier,RB,ARI,RB46,149.6,155.1,5.5
2026,Hunter Henry,TE,NE,TE18,152.0,152.8,0.8
2026,Omar Cooper,WR,NYJ,WR62,152.0,145.4,-6.6
2026,Tank Bigsby,RB,PHI,RB47,152.2,158.7,6.5
2026,Juwan Johnson,TE,NO,TE19,153.4,156.4,3.0
2026,Jalen McMillan,WR,TB,WR63,153.6,146.7,-6.9
2026,Jonah Coleman,RB,DEN,RB48,154.6,160.2,5.6
2026,Tyjae Spears,RB,TEN,RB49,158.0,153.5,-4.5
2026,Tre Tucker,WR,LV,WR64,158.1,156.6,-1.5
2026,Zach Charbonnet,RB,SEA,RB50,160.2,161.6,1.4
2026,Jauan Jennings,WR,MIN,WR65,160.2,156.4,-3.8
2026,Bryce Young,QB,CAR,QB26,161.9,160.9,-1.0
2026,Tre' Harris,WR,LAC,WR66,162.0,165.0,3.0
2026,Alvin Kamara,RB,NO,RB51,162.7,163.6,0.9
2026,Isiah Pacheco,RB,DET,RB52,162.7,152.2,-10.5
2026,Oronde Gadsden,TE,LAC,TE20,162.9,153.1,-9.8
2026,Ryan Flournoy,WR,DAL,WR67,163.7,163.1,-0.6
2026,MarShawn Lloyd,RB,GB,RB53,164.4,187.6,23.2
2026,Dalton Schultz,TE,HOU,TE21,168.4,168.3,-0.1
2026,T.J. Hockenson,TE,MIN,TE22,169.5,170.5,1.0
2026,Jaydon Blue,RB,DAL,RB54,169.9,179.4,9.5
2026,Adonai Mitchell,WR,NYJ,WR68,171.2,172.2,1.0
2026,Dontayvion Wicks,WR,PHI,WR69,171.7,186.9,15.2
2026,Isaac TeSlaa,WR,DET,WR70,174.1,169.3,-4.8
2026,Kenyon Sadiq,TE,NYJ,TE23,174.1,164.1,-10.0
2026,Malik Washington,WR,MIA,WR71,174.4,180.1,5.7
2026,Terrance Ferguson,TE,LAR,TE24,174.6,180.1,5.5
2026,Dylan Sampson,RB,CLE,RB55,175.8,171.9,-3.9
2026,AJ Barner,TE,SEA,TE25,176.5,174.8,-1.7
2026,Aaron Rodgers,QB,PIT,QB27,178.9,177.4,-1.5
2026,Tank Dell,WR,HOU,WR72,179.6,183.7,4.1
2026,Zachariah Branch,WR,ATL,WR73,179.9,179.3,-0.6
2026,Ja'Kobi Lane,WR,BAL,WR74,180.7,209.1,28.4
2026,Pat Bryant,WR,DEN,WR75,182.0,202.8,20.8
2026,Brian Robinson,RB,ATL,RB56,182.8,176.7,-6.1
2026,Greg Dulcich,TE,MIA,TE26,183.8,179.1,-4.7
2026,Cyrus Allen,WR,KC,WR76,184.8,201.3,16.5
2026,Fernando Mendoza,QB,LV,QB28,187.2,184.6,-2.6
2026,Ray Davis,RB,BUF,RB57,187.5,188.0,0.5
2026,Gunnar Helm,TE,TEN,TE27,187.8,181.2,-6.6
2026,Jerry Jeudy,WR,CLE,WR77,187.9,178.8,-9.1
2026,Geno Smith,QB,NYJ,QB29,188.5,186.5,-2.0
2026,Cade Otton,TE,TB,TE28,191.5,189.7,-1.8
2026,Mike Washington,RB,LV,RB58,192.1,197.8,5.7
2026,Pat Freiermuth,TE,PIT,TE29,193.7,194.0,0.3
2026,Calvin Ridley,WR,TEN,WR78,195.5,188.7,-6.8
2026,Sean Tucker,RB,TB,RB59,197.1,192.9,-4.2
2026,Kayshon Boutte,WR,NE,WR79,198.0,195.0,-3.0
2026,Jacoby Brissett,QB,ARI,QB30,198.7,192.4,-6.3
2026,Ted Hurst,WR,TB,WR80,200.2,205.6,5.4
2026,Rashod Bateman,WR,BAL,WR81,200.8,202.8,2.0
2026,Germie Bernard,WR,PIT,WR82,202.5,194.8,-7.7
2026,Nicholas Singleton,RB,TEN,RB60,203.2,209.0,5.8
2026,Kimani Vidal,RB,LAC,RB61,203.9,212.9,9.0
2026,Antonio Williams,WR,WAS,WR83,204.7,176.4,-28.3
2026,Caleb Douglas,WR,MIA,WR84,205.1,214.0,8.9
2026,Keenan Allen,WR,FA,WR85,206.3,206.6,0.3
2026,Tua Tagovailoa,QB,ATL,QB31,207.4,208.2,0.8
2026,Malachi Fields,WR,NYG,WR86,209.4,214.4,5.0
2026,Mike Gesicki,TE,CIN,TE30,209.6,207.7,-1.9
2026,Kaelon Black,RB,SF,RB62,209.8,203.5,-6.3
2026,Emmett Johnson,RB,KC,RB63,209.9,198.5,-11.4
2026,Darnell Mooney,WR,NYG,WR87,210.0,201.4,-8.6
2026,Cooper Kupp,WR,SEA,WR88,210.1,209.1,-1.0
2026,Colby Parkinson,TE,LAR,TE31,210.3,210.8,0.5
2026,Keon Coleman,WR,BUF,WR89,211.6,211.0,-0.6
2026,Evan Engram,TE,DEN,TE32,212.0,212.1,0.1
2026,Kaytron Allen,RB,WAS,RB64,212.2,205.5,-6.7
2026,David Njoku,TE,LAC,TE33,212.2,212.8,0.6
2026,George Holani,RB,SEA,RB65,212.4,212.6,0.2
2026,Tyquan Thornton,WR,KC,WR90,212.6,210.8,-1.8
2026,Braelon Allen,RB,NYJ,RB66,212.8,213.2,0.4
2026,Tory Horton,WR,SEA,WR91,213.3,212.5,-0.8
2026,Justice Hill,RB,BAL,RB67,213.3,213.9,0.6
2026,Shedeur Sanders,QB,CLE,QB32,213.6,211.9,-1.7
2026,Jordan James,RB,SF,RB68,213.9,214.3,0.4
2026,Carson Beck,QB,ARI,QB33,214.1,216.0,1.9
2026,Eli Stowers,TE,PHI,TE34,214.1,211.0,-3.1
2026,Demond Claiborne,RB,MIN,RB69,214.1,214.3,0.2
2026,Charlie Kolar,TE,LAC,TE35,214.2,214.6,0.4
2026,Darren Waller,TE,CAR,TE36,214.3,216.0,1.7
2026,Elijah Sarratt,WR,BAL,WR92,214.4,210.9,-3.5
2026,Chris Bell,WR,MIA,WR93,214.4,215.1,0.7
2026,Troy Franklin,WR,DEN,WR94,214.6,213.8,-0.8
2026,James Conner,RB,ARI,RB70,214.6,214.6,0.0
2026,Jake Tonges,TE,SF,TE37,214.8,214.4,-0.4
2026,Eli Raridon,TE,NE,TE38,214.9,215.3,0.4
2026,Devaughn Vele,WR,NO,WR95,214.9,214.9,0.0
2026,Seth McGowan,RB,IND,RB71,215.0,216.0,1.0
2026,Michael Mayer,TE,LV,TE39,215.0,215.1,0.1
2026,Andrei Iosivas,WR,CIN,WR96,215.1,215.2,0.1
2026,Kirk Cousins,QB,LV,QB34,215.2,214.9,-0.3
2026,Xavier Legette,WR,CAR,WR97,215.2,214.9,-0.3
2026,Deshaun Watson,QB,CLE,QB35,215.3,215.5,0.2
2026,Tyreek Hill,WR,FA,WR98,215.3,215.4,0.1
2026,Darnell Washington,TE,PIT,TE40,215.3,215.0,-0.3
2026,Jaylin Noel,WR,HOU,WR99,215.3,215.1,-0.2
2026,Samaje Perine,RB,CIN,RB72,215.3,215.5,0.2
2026,Jaylen Wright,RB,MIA,RB73,215.4,216.0,0.6
2026,Jack Bech,WR,LV,WR100,215.4,215.4,0.0
2026,Michael Penix,QB,ATL,QB36,215.5,215.4,-0.1
2026,LeQuint Allen,RB,JAX,RB74,215.5,216.0,0.5
